speaker,file,label,release,voi_onset,consonant,VOT
s01,011-kati,k,0.753945578231293,0.785396825396825,k,31.4512471655319
s01,052-kati,k,0.772312925170068,0.80734693877551,k,35.034013605442
s01,093-kati,k,0.907981859410431,0.946077097505669,k,38.0952380952381
s02,020-kati,k,0.69578231292517,0.750657596371882,k,54.875283446712
s02,061-kati,k,0.608253968253968,0.65233560090703,k,44.081632653062
s02,102-kati,k,0.734081632653061,0.782517006802721,k,48.4353741496599
s04,036-kati,k,0.604829931972789,0.640657596371882,k,35.827664399093
s04,080-kati,k,0.503718820861678,0.564580498866213,k,60.861678004535
s04,122-kati,k,0.600907029478458,0.652403628117914,k,51.496598639456
s05,016-kati,k,0.111700680272109,0.222721088435374,k,111.020408163265
s05,057-kati,k,0.430612244897959,0.520385487528345,k,89.773242630386
s05,099-kati,k,0.351292517006803,0.45718820861678,k,105.895691609977
s06,024-kati,k,0.509727891156463,0.540997732426304,k,31.269841269841
s06,066-kati,k,0.457142857142857,0.498798185941043,k,41.655328798186
s06,108-kati,k,0.406530612244898,0.447097505668934,k,40.566893424036
s01,014-pata,p,0.704512471655329,0.711972789115646,p,7.46031746031695
s01,055-pata,p,0.822879818594104,0.837868480725624,p,14.9886621315201
s01,096-pata,p,1.09793650793651,1.10417233560091,p,6.23582766440012
s02,034-pata,p,0.723650793650794,0.734716553287982,p,11.065759637188
s02,075-pata,p,0.703968253968254,0.715668934240363,p,11.700680272109
s02,116-pata,p,0.896462585034014,0.908548752834467,p,12.086167800453
s04,018-pata,p,0.502471655328798,0.509546485260771,p,7.07482993197295
s04,061-pata,p,0.592834467120181,0.609614512471655,p,16.780045351474
s04,103-pata,p,0.721859410430839,0.750589569160998,p,28.7301587301589
s05,018-pata,p,0.273265306122449,0.287437641723356,p,14.172335600907
s05,059-pata,p,0.374331065759637,0.396326530612245,p,21.995464852608
s05,101-pata,p,0.383945578231293,0.403968253968254,p,20.022675736961
s06,030-pata,p,0.458684807256236,0.47328798185941,p,14.603174603174
s06,072-pata,p,0.429047619047619,0.440952380952381,p,11.904761904762
s06,114-pata,p,0.361904761904762,0.375804988662132,p,13.90022675737
s01,020-tapa,t,0.824716553287982,0.832721088435374,t,8.00453514739197
s01,061-tapa,t,0.944331065759637,0.952947845804989,t,8.61678004535205
s01,102-tapa,t,0.950952380952381,0.964013605442177,t,13.061224489796
s02,011-tapa,t,0.752131519274376,0.766031746031746,t,13.9002267573699
s02,052-tapa,t,0.700226757369615,0.711179138321995,t,10.9523809523799
s02,093-tapa,t,0.827868480725624,0.838390022675737,t,10.521541950113
s04,010-tapa,t,0.560136054421769,0.570022675736961,t,9.88662131519202
s04,053-tapa,t,0.516258503401361,0.525079365079365,t,8.820861678004
s04,095-tapa,t,0.801360544217687,0.815124716553288,t,13.764172335601
s05,030-tapa,t,0.206213151927438,0.231972789115646,t,25.759637188208
s05,071-tapa,t,0.396666666666667,0.418684807256236,t,22.018140589569
s05,113-tapa,t,0.299501133786848,0.34687074829932,t,47.369614512472
s06,032-tapa,t,0.545487528344671,0.557800453514739,t,12.312925170068
s06,074-tapa,t,0.569478458049887,0.583219954648526,t,13.7414965986391
s06,116-tapa,t,0.499251700680272,0.512040816326531,t,12.789115646259
